3851130000;3851130023;"Сибирьтелеком"" Алтайский филиал";Новозоринский |Павловский |Алтайский край
3857028500;3857028599;Ростелеком;Михайловский |Алтайский край
3857028610;3857028659;Ростелеком;Михайловский |Алтайский край
3857029100;3857029759;Ростелеком;Михайловский |Алтайский край
3857121300;3857121499;Ростелеком;Быстроистокский |Алтайский край
3857122000;3857122999;Ростелеком;Быстроистокский |Алтайский край
3857123310;3857123359;Ростелеком;Быстроистокский |Алтайский край
3857124100;3857124643;Ростелеком;Быстроистокский |Алтайский край
3857125000;3857125055;Ростелеком;Быстроистокский |Алтайский край
3857125300;3857125515;Ростелеком;Быстроистокский |Алтайский край
3857126300;3857126603;Ростелеком;Быстроистокский |Алтайский край
3857127300;3857127399;Ростелеком;Быстроистокский |Алтайский край
3857127410;3857127459;Ростелеком;Быстроистокский |Алтайский край
3857128300;3857128515;Ростелеком;Быстроистокский |Алтайский край
3857129200;3857129711;Ростелеком;Быстроистокский |Алтайский край
3857221300;3857221475;Ростелеком;Бурлинский |Алтайский край
3857222000;3857223663;Ростелеком;Бурлинский |Алтайский край
3857224300;3857224539;Ростелеком;Бурлинский |Алтайский край
3857225100;3857225227;Ростелеком;Бурлинский |Алтайский край
3857225300;3857225523;Ростелеком;Бурлинский |Алтайский край
3857225600;3857225855;Ростелеком;Бурлинский |Алтайский край
3857225900;3857225963;Ростелеком;Бурлинский |Алтайский край
3857226300;3857226475;Ростелеком;Бурлинский |Алтайский край
3857227300;3857227443;Ростелеком;Бурлинский |Алтайский край
3857228300;3857228523;Ростелеком;Бурлинский |Алтайский край
3857229300;3857229379;Ростелеком;Бурлинский |Алтайский край
3857320000;3857320031;Ростелеком;Петропавловский |Алтайский край
3857321300;3857321483;Ростелеком;Петропавловский |Алтайский край
3857322000;3857322999;Ростелеком;Петропавловский |Алтайский край
3857323300;3857323515;Ростелеком;Петропавловский |Алтайский край
3857324300;3857324467;Ростелеком;Петропавловский |Алтайский край
3857325000;3857325055;Ростелеком;Петропавловский |Алтайский край
3857325300;3857325603;Ростелеком;Петропавловский |Алтайский край
3857326300;3857326467;Ростелеком;Петропавловский |Алтайский край
3857327300;3857327531;Ростелеком;Петропавловский |Алтайский край
3857328300;3857328467;Ростелеком;Петропавловский |Алтайский край
3857328468;3857328491;Ростелеком;Петропавловский |Алтайский край
3857329300;3857329587;Ростелеком;Петропавловский |Алтайский край
3857421000;3857421249;Ростелеком;Чарышский |Алтайский край
3857422000;3857422999;Ростелеком;Чарышский |Алтайский край
3857423300;3857423491;Ростелеком;Чарышский |Алтайский край
3857424300;3857424515;Ростелеком;Чарышский |Алтайский край
3857425300;3857425399;Ростелеком;Чарышский |Алтайский край
3857426300;3857426491;Ростелеком;Чарышский |Алтайский край
3857426492;3857426515;Ростелеком;Чарышский |Алтайский край
3857427200;3857427287;Ростелеком;Чарышский |Алтайский край
3857427300;3857427399;Ростелеком;Чарышский |Алтайский край
3857427410;3857427459;Ростелеком;Чарышский |Алтайский край
3857427500;3857427771;Ростелеком;Чарышский |Алтайский край
3857427800;3857427815;Ростелеком;Чарышский |Алтайский край
3857428100;3857428399;Ростелеком;Чарышский |Алтайский край
3857429300;3857429467;Ростелеком;Чарышский |Алтайский край
3857521000;3857522999;Ростелеком;Краснощековский |Алтайский край
3857523100;3857523239;Ростелеком;Краснощековский |Алтайский край
3857523300;3857523399;Ростелеком;Краснощековский |Алтайский край
3857523410;3857523459;Ростелеком;Краснощековский |Алтайский край
3857523500;3857523799;Ростелеком;Краснощековский |Алтайский край
3857523900;3857523999;Ростелеком;Краснощековский |Алтайский край
3857524200;3857524219;Ростелеком;Краснощековский |Алтайский край
3857524300;3857524491;Ростелеком;Краснощековский |Алтайский край
3857524492;3857524499;Ростелеком;Краснощековский |Алтайский край
3857524500;3857524767;Ростелеком;Краснощековский |Алтайский край
3857524800;3857524811;Ростелеком;Краснощековский |Алтайский край
3857525300;3857525499;Ростелеком;Краснощековский |Алтайский край
3857526300;3857526515;Ростелеком;Краснощековский |Алтайский край
3857526516;3857526539;Ростелеком;Краснощековский |Алтайский край
3857527300;3857527467;Ростелеком;Краснощековский |Алтайский край
3857528100;3857528167;Ростелеком;Краснощековский |Алтайский край
3857528300;3857528719;Ростелеком;Краснощековский |Алтайский край
3857528800;3857528885;Ростелеком;Краснощековский |Алтайский край
3857528886;3857528899;Ростелеком;Краснощековский |Алтайский край
3857529264;3857529359;Ростелеком;Краснощековский |Алтайский край
3857529360;3857529667;Ростелеком;Краснощековский |Алтайский край
3857529700;3857529799;Ростелеком;Краснощековский |Алтайский край
3857621300;3857621595;Ростелеком;Курьинский |Алтайский край
3857621710;3857621759;Ростелеком;Курьинский |Алтайский край
3857622000;3857623599;Ростелеком;Курьинский |Алтайский край
3857624300;3857624467;Ростелеком;Курьинский |Алтайский край
3857624468;3857624491;Ростелеком;Курьинский |Алтайский край
3857625300;3857625699;Ростелеком;Курьинский |Алтайский край
3857626100;3857626219;Ростелеком;Курьинский |Алтайский край
3857626300;3857626467;Ростелеком;Курьинский |Алтайский край
3857626468;3857626491;Ростелеком;Курьинский |Алтайский край
3857627300;3857627515;Ростелеком;Курьинский |Алтайский край
3857628300;3857628515;Ростелеком;Курьинский |Алтайский край
3857629300;3857629467;Ростелеком;Курьинский |Алтайский край
3857629468;3857629491;Ростелеком;Курьинский |Алтайский край
3857720000;3857726143;Ростелеком;Белокуриха |Алтайский край
3857731000;3857731511;Ростелеком;Белокуриха |Алтайский край
3857732500;3857733011;Ростелеком;Белокуриха |Алтайский край
3857733300;3857733399;ДиалогСибирь-Барнаул;Белокуриха |Алтайский край
3857734000;3857734999;Дианэт;Белокуриха |Алтайский край
3857735000;3857735099;ДиалогСибирь-Барнаул;Белокуриха |Алтайский край
3857737000;3857738923;Ростелеком;Белокуриха |Алтайский край
3857744400;3857744499;Дианэт;Белокуриха |Алтайский край
3857755500;3857755599;ДиалогСибирь-Барнаул;Белокуриха |Алтайский край
3857766000;3857766999;Дианэт;Белокуриха |Алтайский край
3857777770;3857777779;ДиалогСибирь-Барнаул;Белокуриха |Алтайский край
3857799900;3857799999;ДиалогСибирь-Барнаул;Белокуриха |Алтайский край
3857821000;3857822999;Ростелеком;Топчихинский |Алтайский край
3857823300;3857823499;Ростелеком;Топчихинский |Алтайский край
3857823510;3857823559;Ростелеком;Топчихинский |Алтайский край
3857824300;3857824555;Ростелеком;Топчихинский |Алтайский край
3857825110;3857825159;Ростелеком;Топчихинский |Алтайский край
3857825300;3857825555;Ростелеком;Топчихинский |Алтайский край
3857826300;3857826555;Ростелеком;Топчихинский |Алтайский край
3857826556;3857826587;Ростелеком;Ключевский |Алтайский край
3857826588;3857826619;Ростелеком;Ключевский |Алтайский край
3857827110;3857827159;Ростелеком;Топчихинский |Алтайский край
3857827300;3857827499;Ростелеком;Топчихинский |Алтайский край
3857827510;3857827559;Ростелеком;Топчихинский |Алтайский край
3857828100;3857828199;Ростелеком;Топчихинский |Алтайский край
3857828310;3857828359;Ростелеком;Топчихинский |Алтайский край
3857828400;3857828799;Ростелеком;Топчихинский |Алтайский край
3857829300;3857829619;Ростелеком;Топчихинский |Алтайский край
3857831100;3857831147;Ростелеком;Ключевский |Алтайский край
3857831200;3857831811;Ростелеком;Ключевский |Алтайский край
3857832100;3857832579;Ростелеком;Ключевский |Алтайский край
3857921000;3857921511;Ростелеком;Угловский |Алтайский край
3857922000;3857923119;Ростелеком;Угловский |Алтайский край
3857923300;3857923599;Ростелеком;Угловский |Алтайский край
3857924300;3857924443;Ростелеком;Угловский |Алтайский край
3857924444;3857924467;Ростелеком;Угловский |Алтайский край
3857925300;3857925419;Ростелеком;Угловский |Алтайский край
3857925420;3857925443;Ростелеком;Угловский |Алтайский край
3857925444;3857925467;Ростелеком;Угловский |Алтайский край
3857926300;3857926467;Ростелеком;Угловский |Алтайский край
3857927300;3857927539;Ростелеком;Угловский |Алтайский край
3857928300;3857928399;Ростелеком;Угловский |Алтайский край
3857928500;3857928787;Ростелеком;Угловский |Алтайский край
3857929300;3857929459;Ростелеком;Угловский |Алтайский край
3857929500;3857929667;Ростелеком;Угловский |Алтайский край
3857929668;3857929691;Ростелеком;Угловский |Алтайский край
3858021000;3858021063;Ростелеком;Панкрушихинский |Алтайский край
3858021064;3858021079;Ростелеком;Панкрушихинский |Алтайский край
3858021080;3858021095;Ростелеком;Панкрушихинский |Алтайский край
3858021100;3858021539;Ростелеком;Панкрушихинский |Алтайский край
3858021540;3858021571;Ростелеком;Панкрушихинский |Алтайский край
3858021572;3858021603;Ростелеком;Панкрушихинский |Алтайский край
3858022000;3858023079;Ростелеком;Панкрушихинский |Алтайский край
3858023080;3858023095;Ростелеком;Панкрушихинский |Алтайский край
3858023200;3858023227;Ростелеком;Панкрушихинский |Алтайский край
3858023300;3858023399;Ростелеком;Панкрушихинский |Алтайский край
3858024000;3858024063;Ростелеком;Панкрушихинский |Алтайский край
3858024200;3858024211;Ростелеком;Панкрушихинский |Алтайский край
3858024300;3858024399;Ростелеком;Панкрушихинский |Алтайский край
3858025100;3858025155;Ростелеком;Панкрушихинский |Алтайский край
3858025156;3858025171;Ростелеком;Панкрушихинский |Алтайский край
3858025200;3858025399;Ростелеком;Панкрушихинский |Алтайский край
3858026100;3858026119;Ростелеком;Панкрушихинский |Алтайский край
3858026200;3858026659;Ростелеком;Панкрушихинский |Алтайский край
3858027200;3858027239;Ростелеком;Панкрушихинский |Алтайский край
3858027240;3858027255;Ростелеком;Панкрушихинский |Алтайский край
3858027300;3858027499;Ростелеком;Панкрушихинский |Алтайский край
3858028000;3858028059;Ростелеком;Панкрушихинский |Алтайский край
3858028060;3858028075;Ростелеком;Панкрушихинский |Алтайский край
3858028100;3858028243;Ростелеком;Панкрушихинский |Алтайский край
3858028300;3858028411;Ростелеком;Панкрушихинский |Алтайский край
3858028500;3858028599;Ростелеком;Панкрушихинский |Алтайский край
3858029200;3858029239;Ростелеком;Панкрушихинский |Алтайский край
3858029300;3858029499;Ростелеком;Панкрушихинский |Алтайский край
3858120000;3858123455;Ростелеком;Павловский |Алтайский край
3858126000;3858126511;Ростелеком;Павловский |Алтайский край
3858127000;3858128407;Ростелеком;Павловский |Алтайский край
3858129100;3858129599;Ростелеком;Павловский |Алтайский край
3858130000;3858130023;Ростелеком;Павловский |Алтайский край
3858131100;3858131499;Ростелеком;Павловский |Алтайский край
3858132700;3858132799;Ростелеком;Павловский |Алтайский край
3858133000;3858133959;Ростелеком;Павловский |Алтайский край
3858134200;3858134495;Ростелеком;Павловский |Алтайский край
3858134500;3858134595;Ростелеком;Павловский |Алтайский край
3858135000;3858135999;Ростелеком;Павловский |Алтайский край
3858136100;3858136399;Ростелеком;Павловский |Алтайский край
3858137000;3858137019;Ростелеком;Павловский |Алтайский край
3858137100;3858137499;Ростелеком;Павловский |Алтайский край
3858138100;3858138355;Ростелеком;Павловский |Алтайский край
3858139100;3858139199;Ростелеком;Павловский |Алтайский край
3858141300;3858141399;Ростелеком;Павловский |Алтайский край
3858141410;3858141459;Ростелеком;Павловский |Алтайский край
3858142300;3858142499;Ростелеком;Павловский |Алтайский край
3858143300;3858143571;Ростелеком;Павловский |Алтайский край
3858144500;3858144795;Ростелеком;Павловский |Алтайский край
3858145300;3858145523;Ростелеком;Павловский |Алтайский край
3858146300;3858146399;Ростелеком;Павловский |Алтайский край
3858147500;3858147799;Ростелеком;Павловский |Алтайский край
3858151100;3858151811;Ростелеком;Павловский |Алтайский край
3858152310;3858152359;Ростелеком;Павловский |Алтайский край
3858153310;3858153359;Ростелеком;Павловский |Алтайский край
3858154310;3858154359;Ростелеком;Павловский |Алтайский край
3858220100;3858220499;Ростелеком;Ребрихинский |Алтайский край
3858221000;3858222999;Ростелеком;Ребрихинский |Алтайский край
3858223100;3858223219;Ростелеком;Ребрихинский |Алтайский край
3858223300;3858223467;Ростелеком;Ребрихинский |Алтайский край
3858223500;3858223799;Ростелеком;Ребрихинский |Алтайский край
3858223900;3858223909;Ростелеком;Ребрихинский |Алтайский край
3858223940;3858223999;Ростелеком;Ребрихинский |Алтайский край
3858224100;3858224219;Ростелеком;Ребрихинский |Алтайский край
3858224300;3858224839;Ростелеком;Ребрихинский |Алтайский край
3858224900;3858224999;Ростелеком;Ребрихинский |Алтайский край
3858225100;3858225215;Ростелеком;Ребрихинский |Алтайский край
3858225300;3858225815;Ростелеком;Ребрихинский |Алтайский край
3858225900;3858226499;Ростелеком;Ребрихинский |Алтайский край
3858226500;3858226515;Ростелеком;Ребрихинский |Алтайский край
3858226516;3858226547;Ростелеком;Ребрихинский |Алтайский край
3858227100;3858227599;Ростелеком;Ребрихинский |Алтайский край
3858228000;3858228239;Ростелеком;Ребрихинский |Алтайский край
3858228300;3858228799;Ростелеком;Ребрихинский |Алтайский край
3858228910;3858228959;Ростелеком;Ребрихинский |Алтайский край
3858321000;3858322999;Ростелеком;Мамонтовский |Алтайский край
3858323200;3858323995;Ростелеком;Мамонтовский |Алтайский край
3858324100;3858324747;Ростелеком;Мамонтовский |Алтайский край
3858325000;3858325099;Ростелеком;Мамонтовский |Алтайский край
3858325200;3858325239;Ростелеком;Мамонтовский |Алтайский край
3858325300;3858325699;Ростелеком;Мамонтовский |Алтайский край
3858325900;3858326099;Ростелеком;Мамонтовский |Алтайский край
3858326300;3858326467;Ростелеком;Мамонтовский |Алтайский край
3858326500;3858326759;Ростелеком;Мамонтовский |Алтайский край
3858326900;3858327067;Ростелеком;Мамонтовский |Алтайский край
3858327200;3858327215;Ростелеком;Мамонтовский |Алтайский край
3858327300;3858327715;Ростелеком;Мамонтовский |Алтайский край
3858327900;3858327999;Ростелеком;Мамонтовский |Алтайский край
3858328010;3858328059;Ростелеком;Мамонтовский |Алтайский край
3858328200;3858328739;Ростелеком;Мамонтовский |Алтайский край
3858328800;3858328815;Ростелеком;Мамонтовский |Алтайский край
3858328900;3858329239;Ростелеком;Мамонтовский |Алтайский край
3858329300;3858329799;Ростелеком;Мамонтовский |Алтайский край
3858329900;3858329999;Ростелеком;Мамонтовский |Алтайский край
3858421000;3858424106;Ростелеком;Каменский |Алтайский край
3858425000;3858425055;Ростелеком;Каменский |Алтайский край
3858425100;3858427343;Ростелеком;Каменский |Алтайский край
3858433300;3858433399;Дианэт;Камень - на - Оби |Алтайский край
3858435100;3858435899;Ростелеком;Камень - на - Оби |Алтайский край
3858436100;3858436883;Ростелеком;Каменский |Алтайский край
3858441000;3858443047;Ростелеком;Каменский |Алтайский край
3858444000;3858444319;Ростелеком;Каменский |Алтайский край
3858444400;3858444499;Дианэт;Камень - на - Оби |Алтайский край
3858451100;3858451695;Ростелеком;Каменский |Алтайский край
3858451696;3858451699;Ростелеком;Камень - на - Оби |Алтайский край
3858451700;3858451795;Ростелеком;Каменский |Алтайский край
3858451796;3858451799;Ростелеком;Камень - на - Оби |Алтайский край
3858451800;3858451895;Ростелеком;Каменский |Алтайский край
3858455500;3858455599;Дианэт;Камень - на - Оби |Алтайский край
3858462200;3858462399;Российские железные дороги;Камень - на - Оби |Алтайский край
3858462500;3858462599;Российские железные дороги;Камень - на - Оби |Алтайский край
3858463100;3858463199;Российские железные дороги;Камень - на - Оби |Алтайский край
3858463400;3858463499;Российские железные дороги;Камень - на - Оби |Алтайский край
3858464600;3858464899;Российские железные дороги;Камень - на - Оби |Алтайский край
3858465200;3858465499;Российские железные дороги;Камень - на - Оби |Алтайский край
3858466000;3858466999;Дианэт;Камень - на - Оби |Алтайский край
3858470300;3858470499;Ростелеком;Каменский |Алтайский край
3858471300;3858471399;Ростелеком;Каменский |Алтайский край
3858471510;3858471559;Ростелеком;Каменский |Алтайский край
3858472300;3858472395;Ростелеком;Каменский |Алтайский край
3858473300;3858473399;Ростелеком;Каменский |Алтайский край
3858473500;3858473599;Ростелеком;Каменский |Алтайский край
3858474300;3858474399;Ростелеком;Каменский |Алтайский край
3858474400;3858474499;Межрегиональный ТранзитТелеком;Камень - на - Оби |Алтайский край
3858474500;3858474699;Ростелеком;Каменский |Алтайский край
3858475300;3858475499;Ростелеком;Каменский |Алтайский край
3858475500;3858476299;Межрегиональный ТранзитТелеком;Камень - на - Оби |Алтайский край
3858476300;3858476399;Ростелеком;Каменский |Алтайский край
3858476400;3858476499;Межрегиональный ТранзитТелеком;Камень - на - Оби |Алтайский край
3858476500;3858476799;Ростелеком;Каменский |Алтайский край
3858477300;3858477399;Ростелеком;Каменский |Алтайский край
3858477410;3858477459;Ростелеком;Каменский |Алтайский край
3858477700;3858477799;Дианэт;Камень - на - Оби |Алтайский край
3858478300;3858478399;Ростелеком;Каменский |Алтайский край
3858478500;3858478599;Ростелеком;Каменский |Алтайский край
3858478610;3858478659;Ростелеком;Каменский |Алтайский край
3858479300;3858479499;Ростелеком;Каменский |Алтайский край
3858499900;3858499999;Дианэт;Камень - на - Оби |Алтайский край
3858521100;3858521599;Ростелеком;Баевский |Алтайский край
3858522000;3858522999;Ростелеком;Баевский |Алтайский край
3858523300;3858523515;Ростелеком;Баевский |Алтайский край
3858524300;3858524419;Ростелеком;Баевский |Алтайский край
3858524420;3858524443;Ростелеком;Баевский |Алтайский край
3858524444;3858524467;Ростелеком;Баевский |Алтайский край
3858525100;3858525219;Ростелеком;Баевский |Алтайский край
3858525500;3858525599;Ростелеком;Баевский |Алтайский край
3858525610;3858525659;Ростелеком;Баевский |Алтайский край
3858526300;3858526419;Ростелеком;Баевский |Алтайский край
3858527300;3858527467;Ростелеком;Баевский |Алтайский край
3858527600;3858527699;Ростелеком;Баевский |Алтайский край
3858527710;3858527759;Ростелеком;Баевский |Алтайский край
3858528300;3858528499;Ростелеком;Баевский |Алтайский край
3858528700;3858528771;Ростелеком;Баевский |Алтайский край
3858529300;3858529371;Ростелеком;Баевский |Алтайский край
3858620400;3858620815;Ростелеком;Локтевский |Алтайский край
3858620816;3858620847;Ростелеком;Локтевский |Алтайский край
3858620848;3858620879;Ростелеком;Локтевский |Алтайский край
3858621300;3858621499;Ростелеком;Локтевский |Алтайский край
3858622300;3858622499;Ростелеком;Локтевский |Алтайский край
3858622600;3858622699;Ростелеком;Локтевский |Алтайский край
3858623300;3858623399;Ростелеком;Локтевский |Алтайский край
3858623610;3858623659;Ростелеком;Локтевский |Алтайский край
3858624300;3858624499;Ростелеком;Локтевский |Алтайский край
3858625300;3858625499;Ростелеком;Локтевский |Алтайский край
3858625600;3858625699;Ростелеком;Локтевский |Алтайский край
3858626300;3858626399;Ростелеком;Локтевский |Локтевский |Алтайский край
3858626400;3858626409;Ростелеком;Локтевский |Алтайский край
3858626600;3858626699;Ростелеком;Локтевский |Алтайский край
3858627300;3858627399;Ростелеком;Локтевский |Алтайский край
3858627600;3858627699;Ростелеком;Локтевский |Алтайский край
3858628300;3858628399;Ростелеком;Локтевский |Алтайский край
3858628410;3858628459;Ростелеком;Локтевский |Алтайский край
3858628610;3858628659;Ростелеком;Локтевский |Алтайский край
3858629300;3858629499;Ростелеком;Локтевский |Алтайский край
3858630000;3858634831;Ростелеком;Локтевский |Алтайский край
3858634832;3858634855;Ростелеком;Локтевский |Алтайский край
3858720100;3858720895;Ростелеком;Змеиногорский |Алтайский край
3858721000;3858723303;Ростелеком;Змеиногорский |Алтайский край
3858723304;3858723519;Ростелеком;Змеиногорск |Алтайский край
3858724300;3858724659;Ростелеком;Змеиногорский |Алтайский край
3858725300;3858725515;Ростелеком;Змеиногорский |Алтайский край
3858726300;3858726611;Ростелеком;Змеиногорский |Алтайский край
3858727300;3858727499;Ростелеком;Змеиногорский |Алтайский край
3858728200;3858728215;Ростелеком;Змеиногорский |Алтайский край
3858728300;3858728799;Ростелеком;Змеиногорский |Алтайский край
3858729310;3858729359;Ростелеком;Змеиногорский |Алтайский край
3858729600;3858729767;Ростелеком;Змеиногорский |Алтайский край
3858821100;3858821659;Ростелеком;Тюменцевский |Алтайский край
3858821660;3858821683;Ростелеком;Тюменцевский |Алтайский край
3858822000;3858822999;Ростелеком;Тюменцевский |Алтайский край
3858823300;3858823399;Ростелеком;Тюменцевский |Алтайский край
3858823500;3858823595;Ростелеком;Тюменцевский |Алтайский край
3858824300;3858824499;Ростелеком;Тюменцевский |Алтайский край
3858825300;3858825635;Ростелеком;Тюменцевский |Алтайский край
3858826300;3858826695;Ростелеком;Тюменцевский |Алтайский край
3858826700;3858826747;Ростелеком;Тюменцевский |Алтайский край
3858827300;3858827419;Ростелеком;Тюменцевский |Алтайский край
3858827420;3858827443;Ростелеком;Тюменцевский |Алтайский край
3858827500;3858827667;Ростелеком;Тюменцевский |Алтайский край
3858827700;3858827867;Ростелеком;Тюменцевский |Алтайский край
3858827868;3858827891;Ростелеком;Тюменцевский |Алтайский край
3858827892;3858827915;Ростелеком;Тюменцевский |Алтайский край
3858828300;3858828459;Ростелеком;Тюменцевский |Алтайский край
3858828500;3858828559;Ростелеком;Тюменцевский |Алтайский край
3858829000;3858829019;Ростелеком;Тюменцевский |Алтайский край
3858829300;3858829443;Ростелеком;Тюменцевский |Алтайский край
3858829500;3858829619;Ростелеком;Тюменцевский |Алтайский край
3858829700;3858829771;Ростелеком;Тюменцевский |Алтайский край
3858829772;3858829795;Ростелеком;Тюменцевский |Алтайский край
3858829796;3858829819;Ростелеком;Тюменцевский |Алтайский край
3858829900;3858829999;Ростелеком;Тюменцевский |Алтайский край
3858920300;3858920499;Ростелеком;Крутихинский |Алтайский край
3858921000;3858921399;Ростелеком;Крутихинский |Алтайский край
3858921500;3858921563;Ростелеком;Крутихинский |Алтайский край
3858922000;3858922999;Ростелеком;Крутихинский |Алтайский край
3858923300;3858923555;Ростелеком;Крутихинский |Алтайский край
3858924300;3858924699;Ростелеком;Крутихинский |Алтайский край
3858924700;3858924715;Ростелеком;Крутихинский |Алтайский край
3858925300;3858925523;Ростелеком;Крутихинский |Алтайский край
3858926300;3858926683;Ростелеком;Крутихинский |Алтайский край
3858927300;3858927499;Ростелеком;Крутихинский |Алтайский край
3858928300;3858928499;Ростелеком;Крутихинский |Алтайский край
3858929300;3858929499;Ростелеком;Крутихинский |Алтайский край
3859021300;3859021391;Ростелеком;Кытмановский |Алтайский край
3859021392;3859022999;Ростелеком;Кытмановский |Алтайский край
3859023100;3859023199;Ростелеком;Кытмановский |Алтайский край
3859023300;3859023367;Ростелеком;Кытмановский |Алтайский край
3859023400;3859023491;Ростелеком;Кытмановский |Алтайский край
3859023500;3859023699;Ростелеком;Кытмановский |Алтайский край
3859023710;3859023759;Ростелеком;Кытмановский |Алтайский край
3859024200;3859024283;Ростелеком;Кытмановский |Алтайский край
3859024300;3859024671;Ростелеком;Кытмановский |Алтайский край
3859024672;3859024699;Ростелеком;Кытмановский |Алтайский край
3859025300;3859025715;Ростелеком;Кытмановский |Алтайский край
3859025716;3859025763;Ростелеком;Кытмановский |Алтайский край
3859026300;3859026515;Ростелеком;Кытмановский |Алтайский край
3859027300;3859027515;Ростелеком;Кытмановский |Алтайский край
3859028300;3859028419;Ростелеком;Кытмановский |Алтайский край
3859029100;3859029219;Ростелеком;Кытмановский |Алтайский край
3859029300;3859029371;Ростелеком;Кытмановский |Алтайский край
3859029372;3859029399;Ростелеком;Кытмановский |Алтайский край
3859029400;3859029767;Ростелеком;Кытмановский |Алтайский край
3859121000;3859123991;Ростелеком;Тальменский |Алтайский край
3859125300;3859125659;Ростелеком;Тальменский |Алтайский край
3859125660;3859125699;Ростелеком;Тальменский |Алтайский край
3859126000;3859126351;Ростелеком;Тальменский |Алтайский край
3859127000;3859129607;Ростелеком;Тальменский |Алтайский край
3859131000;3859131491;Ростелеком;Тальменский |Алтайский край
3859131500;3859131699;Ростелеком;Тальменский |Алтайский край
3859131800;3859131815;Ростелеком;Тальменский |Алтайский край
3859132100;3859132399;Ростелеком;Тальменский |Алтайский край
3859132700;3859132799;Ростелеком;Тальменский |Алтайский край
3859133000;3859133399;Ростелеком;Тальменский |Алтайский край
3859133410;3859133459;Ростелеком;Тальменский |Алтайский край
3859133500;3859133599;Ростелеком;Тальменский |Алтайский край
3859133700;3859133899;Ростелеком;Тальменский |Алтайский край
3859133910;3859133959;Ростелеком;Тальменский |Алтайский край
3859134000;3859134099;Ростелеком;Тальменский |Алтайский край
3859134100;3859134109;Ростелеком;Тальменский |Алтайский край
3859134110;3859134159;Ростелеком;Тальменский |Алтайский край
3859134300;3859134559;Ростелеком;Тальменский |Алтайский край
3859134710;3859134759;Ростелеком;Тальменский |Алтайский край
3859134800;3859134899;Ростелеком;Тальменский |Алтайский край
3859135010;3859135059;Ростелеком;Тальменский |Алтайский край
3859135110;3859135159;Ростелеком;Тальменский |Алтайский край
3859135200;3859135499;Ростелеком;Тальменский |Алтайский край
3859135510;3859135559;Ростелеком;Тальменский |Алтайский край
3859135700;3859135799;Ростелеком;Тальменский |Алтайский край
3859137300;3859137555;Ростелеком;Тальменский |Алтайский край
3859137610;3859137659;Ростелеком;Тальменский |Алтайский край
3859221100;3859221539;Ростелеком;Залесовский |Алтайский край
3859222000;3859222999;Ростелеком;Залесовский |Алтайский край
3859223300;3859223399;Ростелеком;Залесовский |Алтайский край
3859223410;3859223449;Ростелеком;Залесовский |Алтайский край
3859224300;3859224499;Ростелеком;Залесовский |Алтайский край
3859224510;3859224559;Ростелеком;Залесовский |Алтайский край
3859224710;3859224749;Ростелеком;Залесовский |Алтайский край
3859225300;3859225399;Ростелеком;Залесовский |Алтайский край
3859225410;3859225459;Ростелеком;Залесовский |Алтайский край
3859225460;3859225479;Ростелеком;Залесовский |Алтайский край
3859225510;3859225559;Ростелеком;Залесовский |Алтайский край
3859226300;3859226399;Ростелеком;Залесовский |Алтайский край
3859226400;3859226423;Ростелеком;Залесовский |Алтайский край
3859226510;3859226559;Ростелеком;Залесовский |Алтайский край
3859227300;3859227467;Ростелеком;Залесовский |Алтайский край
3859228300;3859228419;Ростелеком;Залесовский |Алтайский край
3859229300;3859229459;Ростелеком;Залесовский |Алтайский край
3859322000;3859322999;Ростелеком;Ельцовский |Алтайский край
3859324300;3859324399;Ростелеком;Ельцовский |Алтайский край
3859325300;3859325399;Ростелеком;Ельцовский |Алтайский край
3859325410;3859325459;Ростелеком;Ельцовский |Алтайский край
3859326310;3859326381;Ростелеком;Ельцовский |Алтайский край
3859327300;3859327459;Ростелеком;Ельцовский |Алтайский край
3859329300;3859329399;Ростелеком;Ельцовский |Алтайский край
3859421000;3859421255;Ростелеком;Солонешенский |Алтайский край
3859421300;3859421637;Ростелеком;Солонешенский |Алтайский край
3859422000;3859423023;Ростелеком;Солонешенский |Алтайский край
3859423300;3859423515;Ростелеком;Солонешенский |Алтайский край
3859424300;3859424399;Ростелеком;Солонешенский |Алтайский край
3859425300;3859425501;Ростелеком;Солонешенский |Алтайский край
3859426300;3859426399;Ростелеком;Солонешенский |Алтайский край
3859427300;3859427499;Ростелеком;Солонешенский |Алтайский край
3859427510;3859427559;Ростелеком;Солонешенский |Алтайский край
3859428300;3859428419;Ростелеком;Солонешенский |Алтайский край
3859429300;3859429399;Ростелеком;Солонешенский |Алтайский край
3859429400;3859429409;Ростелеком;Солонешенский |Алтайский край
3859429410;3859429459;Ростелеком;Солонешенский |Алтайский край
3859429460;3859429473;Ростелеком;Солонешенский |Алтайский край
3859520000;3859520999;Дианэт;Заринск |Алтайский край
3859521000;3859521599;Ростелеком;Заринск |Алтайский край
3859521600;3859521699;ДиалогСибирь-Барнаул;Заринск |Алтайский край
3859521700;3859521899;Ростелеком;Заринск |Алтайский край
3859522000;3859522899;Ростелеком;Заринск |Алтайский край
3859523300;3859523399;Ростелеком;Заринский |Алтайский край
3859524000;3859524695;Ростелеком;Заринский |Алтайский край
3859524700;3859524859;Ростелеком;Заринский |Алтайский край
3859524900;3859524999;Ростелеком;Заринский |Алтайский край
3859525300;3859525499;Ростелеком;Заринский |Алтайский край
